id,path,type
ad6eaa2d81736a1b36f691ba2edc9d94,news/2022/gradspotlight-fall22-stephanie-gutierrez,page
ad6e4dda81736a1b36f691bafbbdc3e5,news/2022/gradspotlight-fall22-verania-carrillo,page
ad70b48081736a1b36f691baedb88a47,news/2022/manos-de-dios,page
ad7152da81736a1b36f691ba745f3e6c,news/2022/mas-teachers-academy-22,page
ad819a0681736a1b36f691ba79b9962f,news/2022/monica-hernandez-elps,page
ad73da8081736a1b36f691baec8bc0d5,news/2022/musical-sprouts,page
ad732cd281736a1b36f691baa0d0a148,news/2022/sbec-recognizes-epp,page
ad81363681736a1b36f691ba9f282e88,news/2022/sbi-22,page
ad80b9aa81736a1b36f691baa232deab,news/2022/sidury-christiansen-adlle,page
ad6e413581736a1b36f691ba14cb6ee7,news/2022/tiffany-farias,page
ad72599b81736a1b36f691ba7a6f8fc2,news/2022/university-excellence-awards-22,page
ad736a1481736a1b36f691baf566959c,news/2022/utsa-dlp-new-assistantdirector,page
ad8194a281736a1b36f691ba4e43ed5c,news/2022/utsa-educator-prep-program-recognized,page
ad734bee81736a1b36f691ba983603fe,news/2022/utsacoehd-interimdirector-uei,page
ad6e3cc981736a1b36f691ba96ded864,news/2022/van-lac-elected-aera-chair,page
ad6e363181736a1b36f691ba2686bac1,news/2022/westside-sound,page
ad6f569b81736a1b36f691ba9068ec11,news/2023/balletfolklorico23,page
ad73952a81736a1b36f691baf018c950,news/2023/charles-butt-scholars-award-2023,page
ad733a6c81736a1b36f691baa5538014,news/2023/drjasmineharris-book-newsweek,page
ad711c3781736a1b36f691bab33e3567,news/2023/fall-grads-23,page
ad80b06281736a1b36f691ba2b68dfba,news/2023/grad-degree-rankings,page
ad6fc81881736a1b36f691ba71be5db4,news/2023/grad-spotlight-23-bfgarcia,page
ad6fd10a81736a1b36f691bac770de5c,news/2023/grad-spotlight-23-carolynpotral,page
ad6fda0881736a1b36f691ba7b21d50f,news/2023/grad-spotlight-23-lrmoreno,page
ad6fd58781736a1b36f691baf1055ed8,news/2023/grad-spotlight-23-maliboone,page
ad6f66a781736a1b36f691ba800d161a,news/2023/grad-spotlight-23-rstone,page
ad6fcc9481736a1b36f691baeda3dece,news/2023/grad-spotlight-23-tinagonzales,page
ad7098cb81736a1b36f691ba7fc49a5e,news/2023/la-musica-de-la-cultura,page
ad81a3e481736a1b36f691ba814ed94b,news/2023/langston-clark-piper-professor-award,page
ad733faf81736a1b36f691ba7d5a4a74,news/2023/new-faculty-staff-announcement,page
ad709dc181736a1b36f691ba73bc3bde,news/2023/rodriguezphotocontest,page
ad71274081736a1b36f691ba5c0b70b6,news/2023/sista-docta-rebirth,page
ad72423c81736a1b36f691badbeb3c4e,news/2023/sombrilla-bilingual-advantage,page
ad70a69181736a1b36f691ba3e9b56f3,news/2023/txateaward23,page
ad80b4c081736a1b36f691ba58bd5149,news/2023/university-excellence-award-winners-23,page
ad6e173381736a1b36f691ba66fea698,news/2023/usssec-visits-dual-languge-lab-school,page
ad72a41081736a1b36f691bab560de86,news/2023/vittorio-marone-rtechresearch,page
ad81ddd481736a1b36f691bad084e790,news/2023/wtd-23,page
